employee_id,employee_name,team,start_date
121,Erik Andersson,Leeds,01/09/2025
122,Lars Nilsson,Marlow,20/04/2026
123,Anna Bergström,South Coast PS,01/10/2025
124,Johan Karlsson,London 2,01/10/2025
125,Elin Larsson,London 1,13/10/2025
126,Mikael Lindgren,Manchester,09/06/2025
127,Sara Wallin,London 2,01/09/2025
128,Oskar Ekström,London 1,07/07/2025
129,Linnea Dahl,South Coast,23/02/2026
130,Anton Novak,Marlow,20/04/2026
131,Jakub Kowalski,Manchester,01/10/2025
132,Tomasz Zielinski,London 1,20/04/2026
133,Petra Horvat,London 1,07/07/2025
134,Ivan Petrov,South Coast,23/02/2026
135,Milos Jovanovic,London 2,23/02/2026
136,Elena Popescu,London 1,01/09/2025
137,Andrei Ionescu,Birmingham,01/10/2025
138,Katarina Markovic,Birmingham,20/04/2026
139,Stefan Pavlov,London ITSP,20/04/2026
140,Victor Hansen,Birmingham PS,01/09/2025
141,Emma Rasmussen,Manchester,01/09/2025
142,Lucas Jensen,South Coast,13/10/2025
143,Ida Kristensen,Marlow,23/02/2026
144,Markus Olsen,Birmingham,20/04/2026
145,Freja Mikkelsen,Manchester,20/04/2026
146,Tobias Sørensen,Marlow,20/04/2026
147,Marie Eriksen,Dublin,23/02/2026
148,Jonas Pedersen,Manchester,13/10/2025
149,Clara Laursen,London 2,13/10/2025
150,Liam O'Donnell,Leeds,01/10/2025
151,Aoife Murphy,London 2,12/05/2025
152,Sean Gallagher,Bristol,06/09/2025
153,Niall Byrne,London 1,01/09/2025
154,Siobhan Walsh,Leeds,01/10/2025
